#K short	G0205
#scanned warm
Wavelength (nm)	%T
1214	0.0096756
1215	0.017278
1216	0.010522
1217	0.011787
1218	0.016837
1219	0.015155
1220	0.012619
1221	0.017673
1222	0.010511
1223	0.010929
1224	0.011352
1225	0.017665
1226	0.011771
1227	0.015136
1228	0.014713
1229	0.014292
1230	0.0088152
1231	0.010502
1232	0.011345
1233	0.011742
1234	0.011778
1235	0.010518
1236	0.015984
1237	0.0096773
1238	0.016825
1239	0.0096765
1240	0.017241
1241	0.01598
1242	0.014302
1243	0.011343
1244	0.014688
1245	0.017208
1246	0.015953
1247	0.0092254
1248	0.015125
1249	0.014705
1250	0.013044
1251	0.014292
1252	0.011323
1253	0.013004
1254	0.0029225
1255	0.014669
1256	0.017203
1257	0.0096278
1258	0.011325
1259	0.013905
1260	0.0096033
1261	0.013863
1262	0.010502
1263	0.0095401
1264	0.013027
1265	0.014142
1266	0.013469
1267	0.014571
1268	0.015573
1269	0.012567
1270	0.011249
1271	0.0054846
1272	0.010888
1273	0.01425
1274	0.010897
1275	0.01547
1276	0.0088899
1277	0.014065
1278	0.017672
1279	0.014602
1280	0.013311
1281	0.01117
1282	0.019788
1283	0.0088048
1284	0.01436
1285	0.015794
1286	0.015467
1287	0.014172
1288	0.013645
1289	0.018224
1290	0.017149
1291	0.010005
1292	0.017004
1293	0.011145
1294	0.011369
1295	0.011266
1296	0.010948
1297	0.011309
1298	0.014164
1299	0.010943
1300	0.014502
1301	0.0088147
1302	0.014589
1303	0.0079051
1304	0.012963
1305	0.0083367
1306	0.0088014
1307	0.014302
1308	0.008242
1309	0.0097278
1310	0.0098473
1311	0.016229
1312	0.018852
1313	0.0099735
1314	0.025943
1315	0.013731
1316	0.014985
1317	0.014119
1318	0.013862
1319	0.012482
1320	0.016151
1321	0.015035
1322	0.01752
1323	0.015032
1324	0.0049469
1325	0.0071142
1326	0.013299
1327	0.011686
1328	0.015832
1329	0.015391
1330	0.01285
1331	0.013279
1332	0.016224
1333	0.012952
1334	0.01121
1335	0.0099819
1336	0.0070696
1337	0.011587
1338	0.015381
1339	0.0099596
1340	0.017468
1341	0.015002
1342	0.016592
1343	0.013128
1344	0.0096554
1345	0.014521
1346	0.013642
1347	0.0098126
1348	0.012526
1349	0.016997
1350	0.016886
1351	0.016233
1352	0.014282
1353	0.015569
1354	0.012998
1355	0.0083718
1356	0.0099945
1357	0.011604
1358	0.015248
1359	0.014823
1360	0.0076395
1361	0.010295
1362	0.014779
1363	0.0097365
1364	0.011614
1365	0.0079955
1366	0.014896
1367	0.013675
1368	0.0075752
1369	0.015695
1370	0.012014
1371	0.012231
1372	0.011692
1373	0.016625
1374	0.017402
1375	0.0056837
1376	0.018901
1377	0.0086419
1378	0.0086429
1379	0.01074
1380	0.014491
1381	0.018812
1382	0.01682
1383	0.010847
1384	0.015728
1385	0.010756
1386	0.013554
1387	0.0096822
1388	0.01848
1389	0.015862
1390	0.010562
1391	0.010448
1392	0.012431
1393	0.012825
1394	0.010597
1395	0.012457
1396	0.01602
1397	0.0088421
1398	0.012041
1399	0.016892
1400	0.011425
1401	0.019376
1402	0.010513
1403	0.018303
1404	0.016286
1405	0.014772
1406	0.015577
1407	0.019036
1408	0.013491
1409	0.015399
1410	0.013567
1411	0.011675
1412	0.016064
1413	0.008463
1414	0.011403
1415	0.013499
1416	0.010321
1417	0.011341
1418	0.0090702
1419	0.01161
1420	0.0062664
1421	0.010435
1422	0.010525
1423	0.012286
1424	0.014607
1425	0.014872
1426	0.013133
1427	0.012632
1428	0.014195
1429	0.016412
1430	0.016421
1431	0.0058364
1432	0.015989
1433	0.016793
1434	0.013769
1435	0.015441
1436	0.014802
1437	0.0082781
1438	0.011602
1439	0.013695
1440	0.013986
1441	0.019842
1442	0.0075662
1443	0.014931
1444	0.012946
1445	0.0053623
1446	0.013358
1447	0.016658
1448	0.012767
1449	0.016014
1450	0.010817
1451	0.012007
1452	0.015816
1453	0.011516
1454	0.013212
1455	0.014575
1456	0.012412
1457	0.012042
1458	0.015332
1459	0.0095207
1460	0.012052
1461	0.0148
1462	0.012522
1463	0.013636
1464	0.014278
1465	0.011523
1466	0.010438
1467	0.010815
1468	0.0053295
1469	0.011634
1470	0.011158
